userRequest,actionReferenceIds,agentResponse,category,conversationUrl,createdAt,externalUrl,handleTime,humanAgents,humanAgentsWithInserts,incompleteActionReferenceIds,insertCount,integration,mavenAppId,metadata,quality,qualityScoreReason,referenceId,resolutionStatus,responseLength,responseType,sentiment,tags,thumbsDownCount,thumbsUpCount,timeToFirstResponse,userIdentifiers,userNames
User requested assistance from an agent.,escalate-to-agent,Agent offered to connect the user to a support agent for further help.,Technical Support,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGhzribTmqFTrcDEowNsmylehbz8MrJXms6alFvoc5EuKaWVekjRpAeKeoX22DY8uaLknaExa8X6,2025-02-03T23:00:31.744557Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,gecrP8yoHHhp2XbPYvMIi,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
The customer requested to speak with a representative.,escalate-to-agent,The agent repeated the process to connect the customer to a representative.,User Support Request,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGeoI8koAkI88FWc6f0IwM5M9G3E7CaoLkLHOYppcxumOTBTrbg09Gexi07RrxwRrbLxKIjYyOzk,2025-02-03T22:59:44.577995Z,,56m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,SNnYY-S7ZW5wQmyLZfnpo,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User reports that their recordings are missing from their TiVo DVR.,,"Agent provided several potential reasons and solutions for missing recordings, including recording conflicts, settings adjustments, network changes, internal errors, and copy protection issues.",Recording Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjQdxp0neZf4sBzP5uqCdh7AtPzLKX7II9dPWl7xB9xtHfvAO7Wp8Otf64ws3UczRuGpZKqGq4i,2025-02-03T22:58:22.286746Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,plUUoHxInVDdHSPWYz6dW,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
Inquired about a streaming recorder for Amazon Prime Video.,,"Provided information on TiVo DVR and TiVo Stream 4K, noting they do not record streaming content directly.",Streaming Software Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGcGfEYZwimtd14z7dUOrVqHfj2swsbkxwcI7xb0ZiUOiz1jbZfUGYRIEjs1D3uiXCg0tbRRVxlE,2025-02-03T22:43:01.321146Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,MISSING_GENERAL_KNOWLEDGE,CGLsvjtA2uzLpIejAsTCE,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
The customer asked if there have been changes in how TiVo DVRs broadcast to Minis.,escalate-to-agent,The agent could not provide specific information about changes to TiVo DVRs broadcasting to Minis and suggested referring to official resources. The customer requested to speak with a representative.,TiVo Recording Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGcbNEjEYZkbA1G5ItdosZbtXG6RUAiDfD6gXN5hTzZL8QXfZtW3V2p3XcOUNVyjrtfZlGhRQ8ge,2025-02-03T22:38:50.432114Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,MISSING_GENERAL_KNOWLEDGE,Ebb_6cphErOxnmiDaSMDc,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
Inquired about hours of operation.,,"Support hours are weekdays 8 AM to 5 PM PT, closed on weekends. Online resources available outside these hours.",Operating Hours Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGhVTaZSqfoz4POzNl991bXNGNWgO33UNgb3cuFUpS81r1j8S7PkellNoCILRD4gFnWgipsVQ69E,2025-02-03T22:32:20.802072Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,dNWJ2QCzN18wsORsCXkK2,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,POSITIVE,,0,0,,,
"User asked about the difference between TiVo EDGE and TiVo BOLT, then requested more information and features of TiVo EDGE.",,"Agent provided a detailed comparison of TiVo EDGE and TiVo BOLT, followed by an overview and key features of TiVo EDGE.",Product Comparison,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGcFtpxKbW0Z4uHz9DbWR3EqJxY8Bth5rXOZk2OLNx23ej4pXnjEa5zJ75AaATZWuHqo7DVndNDw,2025-02-03T22:14:07.162060Z,,1m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,C3f2AtjdOJrmeflsrzmHp,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
The user requested to speak with an agent.,escalate-to-agent,The agent offered to connect the user to a support agent for further assistance.,Agent Assistance Request,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjuBcQKP16DPzkn54idnVd2AHjBrxRPzgkJxoiLcSwOca0VzwMY50kk25cL7gRvslx8BSBenOjM,2025-02-03T22:11:25.296439Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,smYu07v8wD9p_e2soJjM8,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,herbert50@gmail.com,herbert50@gmail.com
"Inquired about a TiVo device that records local OTA and streaming channels without cable, requested more information about TiVo EDGE, and asked for differences between TiVo EDGE and TiVo BOLT.",,"Confirmed that TiVo EDGE records OTA and streaming channels, provided details about TiVo EDGE features, and explained differences between TiVo EDGE and TiVo BOLT.",TiVo Services Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGho8lD4zZ5AZNEpXsnviTqo6UylYn5Np0Wtgj3y1iemoAMqBIoPpFZyfU7qHA1oEOiUJU6J5wU0,2025-02-03T22:11:19.378589Z,,1m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,f4-DjP6xMBztwALLzyTG2,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User wants to update their TiVo account email address as the current one is not working.,,Agent provided steps to update the email address on the TiVo account and noted to avoid special characters in the new email.,Account Management,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGfwKCWWZxZBQiDyoOkByOLgHfnqObSskHslnewtqh4r5EVPV7ucNKMIUfkfvoIwcTZsoGv75eNQ,2025-02-03T22:09:45.492218Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,Zmos7GR_cfkRhEXO_ZMi2,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
The user requested a human to fix an issue with their Season Pass not being processed.,escalate-to-agent,The agent acknowledged the issue with the Season Pass and offered to connect the user to a support agent for further assistance.,Subscription Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjGV95lvV4OOqoYEtgEgY9cbaqPkt2Taq4x97lfz9lLdzDi6HPbjjn9fd6LlciRrU3TY3e8GtO8,2025-02-03T21:56:05.088549Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,odSP2zwajEmFWq96TWIl6,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
The user requested to speak with someone.,escalate-to-agent,The agent provided a button for the user to connect with another agent.,User Support Request,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGZQ4PmLMhOexc6N2MiHooohSqQlS0pix8yTsMb1hB6snRnDHWwB2NXw6Om3k17n71v0lfnwuEiK,2025-02-03T21:54:11.071276Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,1RvF8NjrDPuxKH0WumwoC,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,POSITIVE,,0,0,,,
check device status for TiVo DVR,escalate-to-agent,Provided steps to check the status of TiVo DVR and offered a troubleshooting guide. User requested to chat with an agent.,Device Capabilities Inquiry,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGhfZwUizsKMQPm3fJzggjc17YAPMC0nmkugkKqo9VVJxv8cRXZyMij41q10Mgmcs6e5IY0aqWWK,2025-02-03T21:52:06.036824Z,,4m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,eUPi6YXtZUzvF9ng0nTjF,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User wants to know how to return a non-working TiVo for a replacement.,,"Agent provided steps for checking warranty, preparing for return, contacting TiVo Support, and shipping the device. Also provided phone numbers for TiVo Support.",Product Replacement Request,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGeW2MwPUGpOVif4UCDlPRecEkHm934IRiTfK3czv47C5ujaELS5OcW89Nz14lvTpbH3qN1tMzH2,2025-02-03T21:51:24.951384Z,,2m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,QsBoAHEgzrfXEp6BOBwo9,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
The user requested help with a login error regarding partner account logins.,escalate-to-agent,The agent identified the user's login issue related to partner account restrictions and offered to connect them to a support agent for further assistance.,Login Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGeUV8wLE5P8m0MSB5pzokz97HcpTsqQ6qrbsVeqxUOJGg6nfSKb6c9j6YrJrKeV2t8kwCXcEC60,2025-02-03T21:46:09.440539Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,QKGwc7UyFcs7mprKebxy-,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,POSITIVE,,0,0,,,
User reported a DRM error and requested help with verifying DRM permissions and finding the TiVo Stream app.,,"Provided troubleshooting steps for DRM error on TiVo Stream 4K, including checking internet connection, restarting device, updating software, and verifying DRM permissions. Offered additional steps when the user couldn't find the TiVo Stream app.",DRM Error Support,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGiUAUpMdAsk0g73AHzcgkp1u1okWPHAufZw9Skzbj9bBBJTZmXHrAsPG0CMT1HT1pxesRA4nNvI,2025-02-03T21:43:21.619859Z,,7m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,jz0dAcWIWv856uqIxsh0i,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
The user asked if a yellow flashing light at the Ethernet connection is normal and reported issues with the guide and TV channels after a channel scan.,,The agent confirmed that a yellow flashing light at the Ethernet connection is normal and provided troubleshooting steps for issues with the guide and TV channels after a channel scan.,Device Indicator Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGd346kZHwfKoC12IZQfdGeYwtqS9bc9rQLLTorEdOn93qlcl2HNsK5IYvstYrJflw747oibcIy4,2025-02-03T21:24:30.459210Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,H35qnrpKITmWeBFCoBmio,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User is unable to log in and mentions that partner account logins are no longer supported.,escalate-to-agent,Agent acknowledges the issue and repeatedly offers to connect the user to a support agent for further assistance.,Account Access Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGhKUKGjFw39Dj6kGNj1yJjXohYqJIIjCOwiLj3KZZtG9OAePUy2hmXUBW9ZFEnMFV4Co2JNtODM,2025-02-03T21:22:22.890822Z,,9m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,c0Pu7RfmRdWms8i2WJBbb,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User asked how to transfer recordings from TiVo to another device and how to find their TiVo Desktop Plus upgrade key.,,Agent provided steps to transfer recordings between TiVo DVRs and stated they could not assist with finding the TiVo Desktop Plus upgrade key.,Media Transfer,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGeoK7XbWeDpGuiCq6CehCtHSb8C4JaNexqlAW56bG9eAgDcq3i3hanhL2a0j3nftd2sIQ9dj8C4,2025-02-03T21:07:59.944764Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,MISSING_GENERAL_KNOWLEDGE,SOC5RmGsPLoTXrFO1fnYz,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,1,0,,,
The user is inquiring about losing access to channels they have watched for years.,,"The agent provided several reasons for losing access to channels, including channel lineup changes, guide options, and the need to check the channel list. They also suggested creating a report if the issue persists.",Channel Reception Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGk3apwUf2CBpaAfvxQVqmFZEEBZt6vvaDAL2EW5mdureJkN6qPGixcwMG4Kjol9Wsyz3DPVfAX6,2025-02-03T21:07:11.556387Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,tb6S9bfH_TeXuMNjWPc1L,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User asked for a TiVo technical support phone number.,,Agent provided the TiVo technical support phone number and hours of operation.,Technical Support,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGkNqV3u9RgdW2dB87ghSM3cQz221qML7IPRmvaO8HPMyNytjulq9gGVi5fyP8iUAoimVoGMRLdc,2025-02-03T21:01:41.770133Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,vqfH2Pf6CNMbGBeEXtH5Y,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
Requested to cancel account.,,Provided steps to cancel TiVo service and mentioned contacting support if issues arise.,Account Management,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGfmiATk8LWE0HXOGTai024T6gv3tr1dOmZkxdYaJ4dl7yq31mCJkHzecSUiGSznfDGVfpXTojp6,2025-02-03T20:42:34.657945Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,Ys18i1D2iEWog1mYN5s94,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User inquired about using a TiVo box with a Comcast cable box and the necessity of a CableCARD.,escalate-to-agent,"TiVo DVRs require a CableCARD for cable services, including Comcast. Without it, the TiVo cannot access digital channels, even with a Comcast cable box. Users should check with Comcast for support and alternatives.",Compatibility with Cable Services,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGhz3kuf8NTSDp8Hft0kf1BR1GyX9C3gEFRWwSAyMyoMphlXVX50Jojy1wBGP2KabuRk5nybxR1I,2025-02-03T20:34:34.090017Z,,8m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,gPif8i99UXTMQE8AESDtl,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User asked how to activate a used TiVo device.,,"Agent provided detailed steps to activate a used TiVo device, including verifying device status, logging into My Account, selecting a service plan, and troubleshooting issues.",Device Activation,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGbyjLyY4ifZLMSEwgiSTRz3SFKAvWofNvPy9OYtg4UeDVytTJUETSfLgPxsOREYauKgMqjqY1WW,2025-02-03T20:33:02.965477Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,AtzlvDisgpUJK2XRnrZD7,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
Inquired if their TiVo box uses a CableCARD.,,Confirmed that TiVo DVRs designed for cable require a CableCARD for encrypted channels and provided a link for installation guidance.,Cablecard Support,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGYmGlIpOPWXArlNwbypPC6hQl0e4vwDN0Uv7fi5aizlQDVTA5MK1wTs2OPPQhc7OnEtXw77wYPU,2025-02-03T20:32:16.415559Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,#NAME?,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User asked how to cancel their account.,,Agent provided detailed steps to cancel TiVo service and mentioned contacting support if issues arise.,Account Management,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGj6138vdfl2zN2agXdfNjatUJIaH8IrsYgoTBjQi8w7Hl9tGvdxVLkObNt3MCR16KrjTEZ0zovc,2025-02-03T20:30:37.338917Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,nSbW-yFHRP7LA8pBtac1-,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User wants to visit a TiVo representative about their account.,,The agent provided links to manage the account online and to chat with a TiVo representative.,Account Assistance,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGfkGBjrcmVwRo0ObojSGfuZ2bGnIJDooxJFzGtr21YNh3wVwaK2KXXwFYm7h8WVCUoPTb01ozcC,2025-02-03T20:21:23.280454Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,Y3bJY-iIttz_Cxi67Mc09,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
Tivo not recognizing service provider,,"Provided troubleshooting steps for TiVo setup, including restarting setup, selecting a temporary lineup, checking for customized lineups, and ensuring accurate program guide data.",Service Provider Recognition Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGfIRYjiY7u9SWjy6FnJXY5gm1iKh9kzfWzbeD7nAfc0fQN8LteLjKk005W6RZllkl4WQgrkWaH6,2025-02-03T20:13:46.907816Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,V_MhgJSZ707XQaGaGWYnt,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,1,0,,,
User is experiencing connection issues with TiVo boxes and requests a call for assistance.,escalate-to-agent,Agent acknowledged the issue and offered to connect the user to a support agent for further assistance.,TiVo Recording Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGfbEfO8Vx6yJffUxKNyHItLGCvou7bGBVmrj2yRio90UxGj0ymImKr0GscujAUhangctYw3T8U8,2025-02-03T20:13:29.695216Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,XHxRRuDSoz3Q6bUc8ODP3,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
User asked how to delete a video from a YouTube playlist.,,Agent provided steps to delete a video from a YouTube playlist on TiVo and directly on YouTube's website/app. User reported that the three dots option does not exist.,YouTube Playlist Management,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjaPFguroeF39D5Q5dmj2A0o9fwFCBl8Dfy2IdbsxkM8mEKyH2nV9LhjMt15heLsqPgITfT35y0,2025-02-03T20:02:13.885742Z,,2m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,qjvSRQQt-YJUu0d9CAhAx,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User wants to speak with an agent.,escalate-to-agent,Agent provided a button to connect the user to an agent.,Technical Support,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGeCdOKma1Sj481ZVK2sI5cdJUIlfjd62axOxesKvgmrNJET3ueRzNGihZPZXRl8J0Qju3lsyRi0,2025-02-03T19:52:33.519475Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,CANT_TAKE_ACTION,Oz10XI_vcJcQT9bzky9Ao,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User requested instructions to activate their TiVo BOLT.,,"Agent provided detailed steps for activating the TiVo BOLT, including service activation, ordering a CableCARD, connecting the device, and completing the guided setup.",Device Activation,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGjGcZUHozdLu9tCC8tUhb6ELvicl8yEoN6MpAyuoO67NBtvmMXmBtMfgs4oncodrCyl47CTb7EC,2025-02-03T19:50:15.346829Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,ogqpArqpbu7tfJn9gycNF,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
User asked for help with TiVo not recording shows.,,"Agent provided troubleshooting steps for TiVo recording issues, including checking power, recording conflicts, and settings adjustments.",TiVo Recording Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGZGzpaMEJY9jDJrlSHNMKc0okJOgB2gneGYPziMbzlHqPamnKVGa4IsA7FmxrhM2OGeLTdp2Mfk,2025-02-03T19:46:38.095644Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,0fC3UXeoeWaEhzAYiJW4v,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,0,0,,,
"All TiVo front lights are flashing, cable checked, remote unresponsive.",,"Provided troubleshooting steps including restarting the device, checking the power outlet, observing activity lights, and remote control troubleshooting.",TiVo,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGZtNFOLEDTBdm7cXIjQJOjXoXmFrcdbsfhNz8fi6uVXVnbW9SleAZsoa23teEnJCBoylhTajfgi,2025-02-03T19:43:34.188075Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,4MAEyeA_ALp3qcBT7iol3,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,MIXED,,0,0,,,
Reported that the stop button on the TiVo Roamio remote is not working.,,"Provided troubleshooting steps for the TiVo Roamio remote's stop button issue, including checking batteries, switching modes, re-pairing, performing a global reset, and updating firmware.",Remote Control Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGkpZua3lD4EMXQI1JD3yFqDTmcHpcv0VSIpVQwpuwa4xjqGxvILHhBjyrwXEHKgUmwtxSpCwG8q,2025-02-03T19:42:35.582842Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,yCJbvYDxSWU2q1PcuHSPg,In progress,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEGATIVE,,0,0,,,
Request for customer support phone number,,Provided TiVo's customer support phone numbers and availability.,Contact Information Update,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGe2nbyblfbGjbpSvbcSVgglzuAqj32u3zSeZ4i2exB7s1Sxu1RRPt1r19IcuVggwMkRgI6OzXu8,2025-02-03T19:18:10.983267Z,,0m,,,,0,API,chat,handoff_available:true;escalation_action_enabled:true,GOOD,,Nz-ks3FYiEJNIYw0gqAQ0,Resolved,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,POSITIVE,,0,0,,,
User is unable to log into their TiVo account and is directed to contact their cable partner. They want to chat with a person for assistance.,escalate-to-agent,"Agent explains the issue with the account being managed by a cable partner and provides steps for account management. User requests to chat with a person, and agent offers to connect them to a support agent.",Account Access Issues,https://app.mavenagi.com/dashboard/org_8VaX47T1HJjc/age_3QO1nva2MMXNHLCdIOobbDf5Rw0/tickets/tic_RGds7j1VTQu7YiB5Blek1z6Uu7hFp502vUvSNPmfM9UrDUm1mdlulS4l3lBCxMLm2qXC6qnwaNVs,2025-02-03T19:18:04.480790Z,,0m,,,escalate-to-agent,0,API,chat,handoff_available:true;escalation_action_enabled:true,POOR,UNKNOWN,MdI45ex6VaeCDyA69n5VC,Escalated,MEDIUM,MARKDOWN;FORMS;CHARTS_HIGHCHARTS_TS,NEUTRAL,,1,0,,,
